Id	Buckwalter	Arabic	English	Meanings	BanglaMeanings
247	jnb	جنب	jīm nūn bā	    To break or hit or hurt one's side, to lead one by his side,    place or put a thing aside, to remove or send a thing far away or far off,    estrange or alienate someone, descend and abode/settle as a stranger among    people, to be remote/distant/far off/aloof from someone, shun or avoid    someone, alienate or estrange oneself from someone, to be under the obligation    of performing a total bath or ablution (by reason of sexual intercourse and    semenal discharge), to be lateral or adjacent to someone or to a thing, walk    by the side of another, to be gentle/compliant/easy to deal with, to be much    of.	
248	jnH	جنح	jīm nūn ḥā	 to lean/incline, to bend/stoop, side.   ribs of the breast, upper/anterior ribs next to the breast/heart (so-called    because they incline over the heart), something one uses to lean on/to one    side (upper-arm, shoulder, elbow, hand),   wing/power, &quot;lower your wing&quot; is an idiomatic metaphor for    love/tenderness/humility, evocative of a bird that lovingly spreads its wings    over its offspring in the nest, shadow/shelter/protection, armpit,   assistant,   going quickly/swiftly (said of an animal due to them leaning forward as they    run),   a sin or crime, act of disobedience/blame.	
249	jnd	جند	jīm nūn dāl	    Collect or assemble [armies, military forces], prepare an army,   Jundun [collected body of men prepared for war; auxiliaries].	
250	jnf	جنف	jīm nūn fā	    To incline or decline (in speech and all affairs), decline or    deviate from the right course, act wrongfully/unjustly/tyrannically, deviate    from that which is right, act unjustly or wrongfully in judgement, incline to    a wrong course or decline from the right course, carry oneself in a proud and    self-conceited manner.	
251	jnn	جنن	jīm nūn nūn	    veiled/concealed/covered/hid/protected (e.g. cloth,    armour, grave, shield), invisible, become dark/posessed,    darkness of night, bereft of reason, mad/insane/unsound in mind/intellect,    confusedness.   Become thick/full-grown/blossom, herbage, garden.   Spiritual beings that conceal themselves from the senses (including angels),    become weak and abject, greater part of mankind, devil/demon, people who are    peerless having no match or equal, a being who is highly potent, sometimes    refers to Kings because they are concealed from the common folk	
252	jny	جني	jīm nūn yā	    To gather or take from a thing, to collect from a thing, to    acquire, commit a crime/offence/injurious action against someone, attain    maturity.	
253	jhr	جهر	jīm hā rā	 become    plain/open/apparent/public/loud/discovered, become great/bulky,   pleasingness/goodliness, clear out    nearly/entirely, strove to overcome/surpass	
254	jhz	جهز	jīm hā zāy	    To equip or furnish, to supply or provide, to prepare, to    despatch, to hasten and complete, to fit out.	
255	jhl	جهل	jīm hā lām	 To be    ignorant, not know of a thing, to be silly or foolish, boil vehemently,    pretend ignorance, feign ignorance, reckon or esteem someone, cause commotion    or unsteadiness, display wrong conduct, to be void of knowledge, believe a    thing to be different from what it is in reality, do a thing in a manner    different from that in which it ought to be done, proceed without knowledge,    to ignore a thing, to be pagan.	
256	jwb	جوب	jīm wāw bā	    Make a hole in a thing, rend or tear a thing,    perforate/pierce/bore, to cut a thing, hollow a thing out, traverse or cross,    cut through by journeying, penetrate, reply or answer or respond, illuminate    and render clear, to shield.	
257	jwd	جود	jīm wāw dāl	    To be good or goodly, approvable or excellent, to be egregious,    to be liberal/bountiful/munificent/generous, affected or overcome with longing    desire, to be feetful/swift (said of a horse).	
258	jwr	جور	jīm wāw rā	    To decline or deviate, act wrongfully or unjustly, to live near    or close (to another), to protect, save or rescue, grant refuge.	
259	jwz	جوز	jīm wāw zāy	    To pass in or pass along a place, leave it (a place) behind,    pass through a place, traverse or cross, pass beyond a place, exceed or    transgress the proper bound/limit/measure, excessive/extravagant/immoderate,    allowable (pass as right or sound or valid or lawful), effect a judgement or    opinion, give, clear away, relax or remit, overlook.	
260	jws	جوس	jīm wāw sīn	    To seek for or seek after, go to and fro (going and coming),    trod upon, enter, come into one's midst.	
261	jwE	جوع	jīm wāw ʿayn	    To be hungry, empty in the belly, hunger or long for a thing,    to desire and long (as though hungering) for a thing.	
262	jwf	جوف	jīm wāw fā	    Wide and hollow within, empty/vacant/void, spacious or ample,    shut or close a thing.	
263	jww	جوو	jīm wāw wāw	    Signifies the air or atmosphere between the sky (or heaven) and    the earth, the region between the heaven/sky and the earth, wide part of a    valley, the inside or interior, inner/inward/secret/private.	
264	jyA	جيأ	jīm yā hamza	 to come/do, commit, (with preposition bi) to bring,    produce,&nbsp; (2:275) to receive	
265	jyb	جيب	jīm yā bā	 to cut out a collar of a    shirt, opening at the neck and bosom of a shirt, an opening in a shirt (e.g.    where the head goes through or the sleeve), pocket (derived because Arabs    often carry things within the bosom of a shirt), bosom, heart, place of    entrance for a land/country, hollowed.	
266	jyd	جيد	jīm yā dāl	    To have a long neck, have a slender or beautiful neck.	
267	Hbb	حبب	ḥā bā bā	 To love,    like, wish.	
268	Hbr	حبر	ḥā bā rā	 To make    beautiful, delight, be joyful, cheer anyone.    Habbara: To    put ink.	
269	Hbs	حبس	ḥā bā sīn	 To detain, restrain, hinder, shut up, confine, prevent, hold in custody.	
270	Hbk	حبك	ḥā bā kāf	 To weave well	
271	Hbl	حبل	ḥā bā lām	 tie/fasten with rope, rope/cord, covenant, a thing by means of which one    snares/catches/snares, obtaining an assurance/promise of safety, snare, to    entrap, to captivate, being pregnant/full, bond, cause of union, link of   connexion, marriage, carotid artery, jugular vein,    calamity/misfortune, a foetus in the womb,    grapevine, one who binds, crisped/plaited/rope-like hair (e.g. that of    Ethiopians).	
272	Htm	حتم	ḥā tā mīm	 To inspire, render obligatory, decree, be unavoidable.	
273	Hvv	حثث	ḥā thā thā	 To incite, instigate, urge.	
274	Hjb	حجب	ḥā jīm bā	 something which    hinders/prevents/precludes/conceals/covers/protects/intervenes, hid, seclude,    partition/barrier/divider/separator.	
275	Hjj	حجج	ḥā jīm jīm	 to intend to a    certain target, aim at, repair, undertake, repaired/betook himself to or    towards a person / place / object of veneration/respect/honour,    went/visit frequently/repeatedly, pilgrimage.   Overcome another by/in argument/evidences/proofs/testimonies, plead,    contend/argue/dispute.   Refrain/abstain.	
276	Hjz	حجز	ḥā jīm zāy	 To withhold, make a camel lie down, stop, restrain, prevent.	
277	Hdb	حدب	ḥā dāl bā	 To be protuberant; Convex; Humpbacked.	
278	Hdv	حدث	ḥā dāl thā	 something new/recent, it (a thing) came into existence, began to be,    originated, had a beginning, existed newly for the first time, to relate    discourse,   story/report/narration/statement/tale.   Lane: &quot;hadathu - a novelty or new thing, an    innovation, a thing not known before, and particularly relating to El-Islam    (i.e. to matters of religious doctrines or practices or the like)&quot;	
279	Hdq	حدق	ḥā dāl qāf	 To surround,    encompass, look at.	
280	H*r	حذر	ḥā dhāl rā	 To beware, take heed of, caution one’s self against.	
281	Hrv	حرث	ḥā rā thā	 To till and sow, cultivate, cut a thing, acquire (goods), plough, study a    thing thoroughly.      Harth has the meanings; Gain,    acquisition, reward (gain), recompense (gain), seed-produce, what is    grown/raised by means of seed/date-stones/planting. A wife or road that is    much trodden.	
282	Hrj	حرج	ḥā rā jīm	 To be contracted (heart), oppressed, become narrow, disquieted in reason.	
283	Hrd	حرد	ḥā rā dāl	 Withhold, hinder, restrain, prevent, shut out, resolve, be niggardly.	
284	Hrr	حرر	ḥā rā rā	 To be free (slave),    be freeborn. 	
285	Hrs	حرس	ḥā rā sīn	 To guard, watch over.	
286	Hrf	حرف	ḥā rā fā	 To pervert, dislocate, change, turn away, discard anything from, alter,    tamper with.	
287	Hrq	حرق	ḥā rā qāf	 To burn by    pulling in the fire, scorch.	
288	Hrk	حرك	ḥā rā kāf	 To move about.	
289	Hrm	حرم	ḥā rā mīm	 To forbid,    prevent, prohibit, make or declare unlawful, deprive, declare a thing sacred.	
290	Hry	حري	ḥā rā yā	 To aim, seek, select, choose, propose (a thing).	
291	Hzb	حزب	ḥā zāy bā	 To befall and distress, divide.	
292	Hzn	حزن	ḥā zāy nūn	 To grieve.	
293	Hsb	حسب	ḥā sīn bā	 To think, consider, suppose, imagine, be of opinion. 	
294	Hsd	حسد	ḥā sīn dāl	 To envy,    grudge.	
295	Hsr	حسر	ḥā sīn rā	 To get    tired, fatigued, fall short.	
296	Hss	حسس	ḥā sīn sīn	 To    slaughter, extirpate, kill, make one’s perceiving powers dead, rout.	
297	Hsm	حسم	ḥā sīn mīm	 To cut off, stop, deprive.	
298	Hsn	حسن	ḥā sīn nūn	 To be handsome, make good, seem good or beautiful, be excellent.	উত্তম, ভালো, সুন্দর
299	H$r	حشر	ḥā shīn rā	 To gather together, raise from the dead, banish.	
300	HSHS	حصحص	ḥā ṣād ḥā ṣād	   hashasa vb. (quad. 1)    perf. act. 12:51	
301	HSl	حصل	ḥā ṣād lām	 To be over and above, manifest, make present, come to light, obtain, remain,    happen, be bared, come and brought forth, appear, to be made known.	
302	HSy	حصي	ḥā ṣād yā	 Calculate, to count/number. To strike with a pebble.	
303	HDr	حضر	ḥā ḍād rā	 To be present, present at, stand in presence of, hurt, be at hand.    	
304	HTb	حطب	ḥā ṭā bā	 aid/assist, incites/urges/instigates, slander,    collect (e.g. firewood), firewood, collector of firewood.	
305	HTT	حطط	ḥā ṭā ṭā	 To put down (a burden), leave off, lower.	
306	HZr	حظر	ḥā ẓā rā	 To prevent, restrain, forbid, confine, limit, restrict, enclose.	
307	Hfd	حفد	ḥā fā dāl	 To do a    thing speedily, minister, be nimble in work.    Hafadatun =    grandsons; grandchildren; daughters.	
308	Hfr	حفر	ḥā fā rā	 To dig, excavate, scrutinize.	
309	HfZ	حفظ	ḥā fā ẓā	 To guard, protect, take care of, watch, put in store, preserve, learn by    heart.	
310	Hff	حفف	ḥā fā fā	 To surround, encompass, throng around; crowd round; go around; hedge.	
311	Hfw	حفو	ḥā fā wāw		
312	Hqb	حقب	ḥā qāf bā	 To be suppressed; rainless year, unproductive. 	
313	Hqf	حقف	ḥā qāf fā	 To be curved, lie on the side.	
314	Hqq	حقق	ḥā qāf qāf	 To be right, just or fitting, worthy of, justly due to, proper, genuine,    real, a fact, true, necessitated, suitable, necessary, incumbent upon, suited    to the requirement of justice, become certain, authentic, deserve.	
315	Hkm	حكم	ḥā kāf mīm	 To restrain from, exercise authority, command, give judgment, judge, be    wise.	
316	Hlf	حلف	ḥā lām fā	 To swear,    make an oath.	
317	Hlq	حلق	ḥā lām qāf	 peel, strip, remove, shave, annoy, unlucky, destroy or cut off entirely,    coat of mail, turn or drew a circle, cancel the pay/stipend/allowance of one,    halo, it was/became high, become little in quantity and went away, ripening,    sharp, quick, swift, agile, active, a high mountain rising above what    surrounds it and without vegetable produce, ring, razor, sharp (said of a    sword or man).	
318	Hlm	حلم	ḥā lām mīm	 To dream,    have a vision, attain to puberty. 	
319	Hly	حلي	ḥā lām yā	 To give ornaments, adorn with ornaments.	
320	HmA	حمأ	ḥā mīm hamza	 	
321	Hml	حمل	ḥā mīm lām	 bore it, carried it,    took it up, carried it, convey, show/manifest, conceive.	
322	Hmy	حمي	ḥā mīm yā	 To protect/prohibit/guard/defend against encroachment/attack. A thing    prohibited. Vehement/angry, it was/became hot (e.g. day, oven),    disdain/scorn/indignation. 	
323	Hnv	حنث	ḥā nūn thā	 To roast.	
324	Hnjr	حنجر	ḥā nūn jīm rā	 throat.	
325	Hn*	حنذ	ḥā nūn dhāl	 To roast.	
326	Hnf	حنف	ḥā nūn fā	 To lean to one side, incline, turn away from error to guidance, incline to    the right religion, stand firmly on one side, leave a false religion and turn    to right.	
327	Hnk	حنك	ḥā nūn kāf	 To put a bit or bridle upon (a horse), bring into subjection, destroy,    overturn, sweepaway, cause to perish, bring under    authority, fasten, chew, understand, rub the palate, debar, consume, take the    mastery over.	
328	Hnn	حنن	ḥā nūn nūn	 To have a longing    desire for, emit a sound as a she-camel towards her young, be moved with pity,    yearn towards, incline towards.	
329	Hwb	حوب	ḥā wāw bā	Alif-Ba) = To transgress, commit a sin, do    what is unlawful.	
330	Hwt	حوت	ḥā wāw tā	Alif-Ta) = To fly about, prowl around.	
331	Hwj	حوج	ḥā wāw jīm	Alif-Jiim) = To desire, be in want of, need,    require.	
332	Hw*	حوذ	ḥā wāw dhāl	Alif-Thal) = To drive fast, keep with care,    gain mastery over, get the better of, prevail over, gain an advantage.	
333	Hwz	حوز	ḥā wāw zāy	Alif-Zay) = To gather together to one’s self,    rally to, retreat to, turn to.	
334	Hw$	حوش	ḥā wāw shīn	Alif-Sh) = To beat for game, glorify,    frighten.	
335	Hwl	حول	ḥā wāw lām	Alif-Lam) = To be changed, come in between,    pass by.	
336	Hyv	حيث	ḥā yā thā		
337	Hyd	حيد	ḥā yā dāl	Alif-Dal) = To deviate, remove, avoid, turn    aside, shun, stray from, avert.	
338	Hyr	حير	ḥā yā rā	Alif-Ra) = To be astonished, bewildered,    dazzled, perplexed, lose the way.	
339	HyS	حيص	ḥā yā ṣād	Alif-Sad) = To escape, deviate, turn away    from, shun.	
340	Hyf	حيف	ḥā yā fā	Alif-Fa) = To be unjust, act unjustly.	
341	Hyq	حيق	ḥā yā qāf	Alif-Qaf) = To recoil, surround and take hold    of, hem in, compass about, come down, overwhelm, enfold, be unavoidable.	
342	Hyn	حين	ḥā yā nūn	Alif-Nun)    = To arrive, come, be at hand (time, season), be fit, be reaped.	
343	Hyy	حيي	ḥā yā yā	 (a doubly imperfect verb) To live, be alive, be ashamed, spend (the night)    awake, fertilize the earth, keep anyone alive; spare any one, let anyone    alive, remove prudency, modesty and shamefulness,    make immodest.	
344	xbA	خبأ	khā bā hamza	 Hide/Conceal, To keep it,  Preserve/Guard, To take care of a thing, Reposit, Store in a place of safety,  Hidden/Absent.	
345	xbt	خبت	khā bā tā	 became concealed/obscure or  of no reputation, lowly/humble/submissive/obedient, to humble one's self, to  abase one's self, still/motionless.	
346	xbv	خبث	khā bā thā	  bad/foul/abominable/corrupt/wicked/deceitful, guileful/artful/crafty/cunning,  malignant/noxious, impure/unclean/filthy,  depraved/disapproved/hated/unlawful/disagreeable/culpable/disobedient, the worst  or most wicked, evil.	
347	xbr	خبر	khā bā rā	 To know/possess, have  knowledge of a thing, to know a thing with respect to it's internal or real  state, informed/acquainted. Knowledge of the secret internal state or as some say of secret internal  circumstances or properties. Also to try, prove or test things, having experience. News/tidings/information/notification/narration/story/account.	
348	xbz	خبز	khā bā zāy	 To feed with bread, to make  or knead bread, he beat him or it.	
349	xbl	خبل	khā bā lām	 To be or become corrupted,  unsound, vitiated or disordered in intellect or reason, become possessed or  insane, be lost, cut off, deprived of heart or reason. Prevent or hinder from  doing a thing. Affliction/trouble/difficulty/distress/fatigue. Seek to corrupt, render unsound, occasioning to agitation like that of  possession or insanity, by disease affecting the reason and thought. Difficulty in people in which they see not happiness. Egregious stupidity or foolishness, heedlessness or weakness of intellect, state  of perdition or destruction. Disordered in the legs so as not to know how to  walk. Going/passing/wasting away, being consumed or destroyed. To lend. Jinn, devil, mankind.	
350	xbw	خبو	khā bā wāw	 To be  extinguished/subsided/allayed/appeased.	
351	xtr	ختر	khā tā rā	 Be agitated by a tendency to  vomit (the soul or stomach) and thus be in a corrupt or disordered state, act or  behave towards another with treachery/perfidy/unfaithfulness (or with deceit,  guile or circumvention), behave towards one in a bad or corrupt manner, corrupt  or disorder one's soul or stomach and render him relaxed (said of wine or  beverage), to be languid and relaxed/heavy/sluggish/fevered, languid in body in  consequence of disease.	
352	xtm	ختم	khā tā mīm	 To  seal/stamp/imprint/impress, to secure/protect oneself against a thing, produce  an impression or effect upon a thing, reach the end of a thing, cover over a  thing, turn away/avoid/shun someone or something, to not understand, prevent the  heart from believing, feign heedlessness.	
353	xdd	خدد	khā dāl dāl	 To furrow/trench/clave,&nbsp;to  mark or impress,&nbsp;to contract/shrink/wrinkle, to oppose,&nbsp;divide into distinct  parties, to rank or class.	
354	xdE	خدع	khā dāl ʿayn	 To hide/conceal, double or  fold, decieve or outwit, pretend, to enter, vary in state/condition, refrain or  refuse, relinquish, to be in little demand of, deviate from the right course,  resist/unyield/incompliant, turn away and behave proudly.	
355	xdn	خدن	khā dāl nūn	 To befriend, keep company,  associate in secrecy or privacy, to converse/talk with.	
356	x*l	خذل	khā dhāl lām	 Neglect/abstain from  aiding or assisting someone, hold back from another, leave/forsake/desert  someone, to fail in helping/aiding someone, hold back from going with someone,  hinder/prevent one from aiding another.	
357	xrb	خرب	khā rā bā	 To be in a state of ruin  (said of a place, country, dwelling or abode), state of waste,  uninhabited/depopulated/deserted/uncultivated, contrary of flourishing, to steal  (theft or robbery), bore/perforate/slit a hole through a thing, corrupt or  unsound in religion, contemptable or disgraceful or shameful.	
358	xrj	خرج	khā rā jīm	 To go out, go forth,  depart, evade/escape/extricate oneself from, to quit/forsake, to rebel, to be  foul or obscene, conspicuous, be clear (as in clear sky as opposed to cloudy),  to resolve/explain/render, educate/discipline/train well, render a thing of two  mixtures (such as two colors, black and white, or to write upon part of a tablet  and leave part of it blank), make a thing to be of different kinds, contribute  to a thing or cause, make an agreement, extort/extract/produce/elicit, to  exclude something or someone, to vent, surpass or excel, outstrip others, be  external/extrinsic/objective.	
359	xrdl	خردل	khā rā dāl lām	  (mustard seed) a  grain of a certain tree that is well known.	
360	xrr	خرر	khā rā rā	 To sound murmured/rumbled or  gurgled (water), run so as to make a noise [run/flow/trickle down so as to make  a murmuring, or similar, sound], to be made to run [TA], sound rustled (wind),  to snore or make a sound in breathing, to fall or fall down (making a sound to  be heard at the same time) [sometimes used in the sense of falling absolutely],  come upon a place or person suddenly or unawares, to be lax or flabby, to pass  along or away or by from one place to another.	
361	xrS	خرص	khā rā ṣād	 To compute a quantity by way  of conjecture, opining or form an opinion of a thing of which one is not  certain, to speak by opinion or conjecture, and thus, lie and speak falsely and  say what is untrue, forge a lie or saying, to be hungry and cold.	
362	xrTm	خرطم	khā rā ṭā mīm	 To strike or twist the  nose, elevate the nose, to be proud and angry, to raise one's head, to elongate.	
363	xrq	خرق	khā rā qāf	 To pierce/bore/perforate,  make a hole in something, to rend/slit/tear, feign or forge, be confounded or  perplexed [so as to be unable to move], be ignorant of a thing, pass  through/over/across, traverse, rough/ungentle/awkward/unskilled, unsound or  deficient in intellect or understanding, to be liberal/bountiful/generous, be of  generous disposition/largely beneficent, be denied gain of good or prosperity.	
364	xzn	خزن	khā zāy nūn	 Reposit/store/preserve/guard  something in a thing or property, conceal or withhold a thing from someone,  become rich/suffcient after poverty, take the nearest of a thing.	
365	xzy	خزي	khā zāy yā	 To be or become  abased/vile/despicable/abject, fall into trial or affliction and evil, manifest  foul actions or qualities, to be confounded or perplexed by reason of disgrace,  moved or affected with shame.	
366	xsA	خسأ	khā sīn hamza	 To drive away (a dog), to  be dazzled/confused and dim (said of the sight), to be driven away/repelled,  throw stones at another.	
367	xsr	خسر	khā sīn rā	 To suffer loss or  diminution, to be deceived/cheated/beguiled/circumvented, to err/go  astray/deviate from/miss the right way, to perish or die, make a thing defective  or deficient, destroy or cause to perish, remove/alienate/estrange someone, to  be treacherous/ignoble/mean, to be unfaithful, ungenerous, small/little/weak  (among mankind), refuse invitation from another.	
368	xsf	خسف	khā sīn fā	 To sink or go away into the  ground or earth (place or person), become depressed (such as the eye becoming  depressed in the head), to lose sight/become blind, to lose light (like the sun  or moon during an eclipse), become defective or deficient, become lean or  emaciated, to recover (such as from disease or illness), to put out one's eye,  make a hole in a thing, to abase or humble or make lowly, to disgrace, to be  vile.	
369	x$b	خشب	khā shīn bā	 Mix a thing with another  thing, pick/choose/select a thing, make/fashion or sharpen a sword (imperfectly  or not thoroughly), polish, make/shape out a thing (such as a bow and arrow) in  a rough manner (without perfecting it or making it smooth or even), speak and do  something without affecting nicety or refinement and without study or labour (do  a thing imperfectly, inelegantly or unthoroughly), to be tall and gross, rude or  coarse (man or camel), to be thick or gross or coarse in all respects, endure a  life of hardship or difficulty (in order to render oneself more able to bear  it), be lean or meagre (such as cattle in consequence of their feeding upon dry  herbage), dry or rigid or tough, strong and vigorous in body (man), have a  displeasing and rigid/uneven forehead.	
370	x$E	خشع	khā shīn ʿayn	 Lowly/humble/submissive,  still and low, to lower the eyes or voice, sink/nearly disappear in a setting  place, be eclipsed/go away, become lean, whither/dry up, feign  lowliness/humility in demeanour or voice or eyes, eject a thing, bow or bend  down the head and body, be fearful.	
371	x$y	خشي	khā shīn yā	 To fear or dread, to fear  with reverence/veneration/honour/awe, to hope, to know a thing, frighten or make  to fear/dread, be cautious or wary.	
372	xSS	خصص	khā ṣād ṣād	  Distinguish/particularize/specially characterize a person,  appropriate/assign/make to belong to a particular person alone or exclusively of  others, favour one in preference to another or others (i.e. to single one out),  take/choose a person specifically to or for oneself, be alone (with none to  share or participate with one in the affair).	
373	xSm	خصم	khā ṣād mīm	 Contend in an altercation,  dispute/litigate in a sound or valid manner, to say a thing such as may cause  the listener to refrain/desist from his assertion/plea/claim, overcome someone  in an altercation, antagonize, put a thing on the edge/side or corner of  something.	
374	xDr	خضر	khā ḍād rā	 To render or do the  forbidden,&nbsp; blessed with means of subsistence,&nbsp; to die in youth,&nbsp; take up a load  or burden,&nbsp;green, to become green in color (9th verb form),&nbsp; to be cut or cut off  (like as dying young or fruit that is picked before it is ripe),&nbsp; fresh or  pleasant,&nbsp; having much verdure.	
375	xTA	خطأ	khā ṭā hamza	 To do wrong, commit a  mistake or error, commit a sin or crime or act of disobedience for which one  deserves punishment, commit a fault or offense (intentionally or  unintentionally), pursue a wrong way (intentionally or otherwise), cause to miss  or pass over, miss a thing (or fail of hitting it), miss or deviate from, far or  out of reach, cause one to make a mistake, feign a wrong action/mistake/error.	
376	xTb	خطب	khā ṭā bā	 To recite/deliver an  exhortation or admonition to the people, ask or demand a woman in marriage,  talk/speak/converse or discourse with one, address one face-to-face, accost one  with speech or words, consult with one, decide a case/pass sentence/judge with  evident demonstration or proof or testimony confirmed by oath, have something  within one's reach or power, hold a dialogue, seek or desire to do a thing, give  a sermon/speech/oration.	
377	xTT	خطط	khā ṭā ṭā	 Make a line (or a mark)  upon the ground, write or register (such as one's sins being written or  registered against him), prohibit a thing or take it for oneself, to cut or  cleave a thing, make a slight track/path/road in plain or smooth or soft ground,  be in a state/condition of abasement or ignominy.	
378	xTf	خطف	khā ṭā fā	 To seize/take/carry off a  thing by force, take or seize&nbsp;a thing quickly (snatch it away), suddenly take  away, move along quickly (quickness in pace or going), cut a thing short (such  as a discourse or narrative), barely&nbsp;miss a thing (and also to  nearly hit a thing), be lean or lank in the belly (lightness of the flesh  of the sides), to be mad or diabolically possessed.	
379	xTw	خطو	khā ṭā wāw	 To step/walk or pace, pass  over, beremoved or repelled from a thing, go far from, step wide.	
380	xft	خفت	khā fā tā	 To be still or silent,&nbsp; to be  low/soft/gentle,&nbsp; to be weak due to vehement hunger,&nbsp; to be abject,&nbsp; to silence  or kill (smite with a sword or the like),&nbsp; to be goodly or beautiful,&nbsp; worthy of  notice.	
381	xfD	خفض	khā fā ḍād	 To lower or depress,&nbsp; to  abase,&nbsp; to overcome,&nbsp; to be easy/tranquil/gentle,&nbsp; to have a tranquil/easy and  plentiful life,&nbsp; to be soft or gentle in voice.	
382	xff	خفف	khā fā fā	 To be light of weight (in  body or material substance),&nbsp; light in estimation or of little account,&nbsp; to be  lively/active/agile/prompt and quick,&nbsp; obedient and submissive in  work/servitude,&nbsp; to hasten,&nbsp; depart or journey quickly,&nbsp; to be light in conduct  or behaviour,&nbsp; acute/sharp/clever/ingenious in hearing and understanding,&nbsp; to be  agitated or excited by reason of fear and anger,&nbsp; acceptable in company or  conversation,&nbsp; light-hearted/cheerful,&nbsp; to be few in number,&nbsp; to be  deficient/slight/inconsiderable.	
383	xfy	خفي	khā fā yā	 = Imperceptible/unapparent,&nbsp;  hidden/concealed/covered,&nbsp; faint or dim to the sight,&nbsp; suppressed or stifled,&nbsp;  obscure to the mind,&nbsp; to become manifest from a state of concealment (what was  concealed became revealed).	
384	xld	خلد	khā lām dāl	 To remain/stay/dwell/abode,  to remain or continue incessantly/always/endlessly/forever/perpetually, to adorn  another with ornaments, to be slow in becoming hoary (when advanced in age),  endowed with perpetual vigour	থাকা, চিরকাল থাকা
385	xlS	خلص	khā lām ṣād	 To be pure/genuine/unmixed/clear, to be safe/secure/free from embarrassment or difficulty or  destruction, to withdraw/retire/part from the company of people, to come/approach/reach, make a thing clear or pure, explain/expound/interpret,  act with reciprocal purity towards someone, to be pure and sincere, to  appropriate a thing or person purely to oneself, to purely or sincerely believe  (free of&nbsp;hypocrisy).	
386	xlT	خلط	khā lām ṭā	 To  mix/intermingle/incorporate/blend, put together with another thing,  confuse/confound/disorder, to perplex or disturb, to have intercourse (i.e. a  man with his wife, or with a woman), to penetrate into [ TA - khalthu ash-shaybu  (the arrow penetrated into him) ], to infect or pervade, associate/converse,  become intimate with, enter into a confederacy/league/compact/covenant, good  natured/disposition.	
387	xlE	خلع	khā lām ʿayn	 To pull/strip/throw/cast  something off, to be removed from or divested of, to forsake  allegiance/obedience to someone, to repudiate or renounce someone, to ransom  off, to contend with someone, to come off or fall off, become disjointed/seperated/displaced,  to go away secretly, to annull/dissolve/break a pact or covenant, divorce one's  wife for a ransom given by her, grow insane or diabolically possessed, to be  gripped with weakness and fear/fright, say or do what one pleases (without care  or fear of blame), play in games of hazard (for stakes laid by both players to  be taken by the winner), to be of vitious or immoral conduct	
388	xlf	خلف	khā lām fā	 To follow/come after/succeed  another, substitute or supersede, to supply/be a supplier to someone, to restore  or replace a thing to someone, smite or strike from behind, yearn towards other  than one's spouse (in the spouses absence/behind his or her back), speak  of/mention someone behind his or her back, remain behind/not go forth, to be  kept back from all good, to not prosper or be successful, to become corrupt or  altered for the worse, retire/withdraw/go away, to turn away from/avoid/shun a  thing, to become foolish/idiotic/deficient in intellect, contrarious/hard in  disposition, to leave behind, to appoint someone as successor, disagree with or  differ from someone, contradict or oppose someone, to break/fail to perform a  promise, to follow reciprocally/alternate/interchange, repeatedly move to and  fro (coming and going), to differ/ be dissimilar	
389	xlq	خلق	khā lām qāf	 To measure or proportion a  thing, to form or make according to proper measure, bring into existence  according to a certain measure, originate or produce after a pattern or model  which one has devised, bring into existence from a state of non-existence  (create out of nothing), to fabricate or forge a speech or saying, to make a  thing equitable or even, make a thing smooth, to be probable or likely to happen  (or likely to be or happen, or to have happened or been), act towards someone  according to that person's nature, wear out a thing and make it old, to be fit/  competent/ suitable/ proper, to be complete or perfect in respect of make or  proportion, have an innate/natural disposition/temperament/quality.	
390	xll	خلل	khā lām lām	 To become lean, to  diminish/decrease/waste away, to be poor, be of want or need, to perforate/pierce/skewer a&nbsp; thing, to remove/transfer/shift, to pick or extract the  remains of, put into the interstices of a thing, to spoil or become sour, make  wine into vinegar, act as a true and sincere friend, fall short of  accomplishing&nbsp;a task, to neglect/omit or leave undone, to absent one's self,  produce bad fruit, enter/penetrate or pass through, interrupt or intervene, to be  shaky/ loose/ faulty/ defective, to be uncompact/disordered/unsound, to be  corrupt or disordered in temperament, to attire with an anklet or pair of  anklets, to be old and worn out, to die and leave a gap/ vacancy, to be of  habit/ custom, show true and sincere affection/ friendship/ love, to be flawed/imperfect/deficient, to leave one thing for another.&nbsp;	
391	xlw	خلو	khā lām wāw	 To be  empty/vacant/void/destitute/unoccupied, to be free from fault or a thing or  affair, free of accusation or suspicion, to be alone or without any companion,  meet with one in a vacant/unoccupied place, to pass away, to dismiss, let loose  or let go a thing, permit or allow a thing, to forsake/relinquish/desert/abandon  a thing, to be distant/remote/aloof/far from a thing, be at leisure, unoccupied  (unemployed).	
392	xmd	خمد	khā mīm dāl	 To subside, be utterly  extinguished (a fire); it's flaming or blazing ceasing, faint or swoon, be  allayed (fever or vehemence of a fever), be still/motionless and silent (Al-Qamoos  &amp; Tajul-Arus), dispose and submit oneself to an affair or event, be silent and  dead, become like extinguished ashes.	
393	xmr	خمر	khā mīm rā	 cover/conceal/veil, becoming changed/altered from a former state/condition,    mixed/mingled/incorporated/blended, intoxication/wine/grapes, make-up, any intoxicating    thing that clouds/obscures the intellect, come upon secretly/unexpectedly, crowding    of people, odour of perfume, women's head cover, man's turban, something fermented/matured.	
